name,address,website,phone,rating
Doc's Seafood Shack & Oyster Bar,"{'street': '26029 Canal Road', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {'lat': 30.2924535, 'lng': -87.5830861}}",https://www.docsseafoodshack.com,(251) 981-6999,4.5
The Keg Lounge and Grill,"26796 Canal Rd, Orange Beach, AL 36561, USA",https://www.facebook.com/thekegloungeandgrill,(251) 981-9462,4.3
Flora-Bama Lounge,"17401 Perdido Key Dr, Orange Beach, AL 36561",florabama.com,,
Cosmo's Restaurant & Bar,"25753 Canal Rd, Orange Beach, AL 36561, USA",http://www.cosmosrestaurantandbar.com/,(251) 948-9663,4.6
Sbarro,"23679 Canal Rd, Orange Beach, AL 36561, USA",http://www.sbarro.com/,(251) 571-3079,2.8
Barefoot Tours & Charters,"{'street': '5749 Bay La Launch Avenue', 'city': 'Orange Beach', 'state': 'AL', 'coordinates': {'lat': 30.3093009, 'lng': -87.5259481}}",https://www.barefootorangebeach.com/,(251) 609-3444,4.9
San Bar at the wharf,"4851 Wharf Pkwy W, Orange Beach, AL 36561, USA, Gulf Shores, AL",https://alwharf.com/?utm_source=GBP&utm_medium=organic&utm_campaign=website,(251) 224-1000,4.5
POUR Smart Bar,"{'street': '4851 Wharf Parkway, D-124', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://poursmartbar.com,#ERROR!,4.9
Cosmos Restaurant and Bar,"{'street': '25753 Canal Rd.', 'city': 'Orange Beach', 'state': 'AL', 'zip': '36561', 'coordinates': {}}",https://cosmosrestaurantandbar.com,251-948-9663,
The Wax Room and Body Bar,"27267 Perdido Beach Blvd Ste 207, Orange Beach, AL 36561, USA",http://mywaxroom.com/,(251) 223-9489,5
